品牌名称,品牌ID,能源类型,车系名称,车系ID,标签,批发价,报价,官方指导价,是否享受补贴,补贴价,懂车分,车辆照片,dt
五菱汽车,39,纯电,五菱EV50,4490,,12.48-13.88万,10.80-11.70万,12.48万,FALSE,暂无报价,0,http://p1-dcd.byteimg.com/img/motor-img/044382f4c36515d97cc11893f22e01f8~tplv-resize:640:0.png,2023/1/5
爱驰,232,纯电,爱驰U6,4464,,21.99-23.79万,暂无报价,21.99万,FALSE,暂无报价,0,http://p1-dcd.byteimg.com/img/tos-cn-i-0000c0030/40840bff50144fe78e5e460cfba3a2d9~tplv-resize:640:0.png,2023/1/5
朋克汽车,420,纯电,朋克美美,4871,,3.48-4.88万,2.98-4.68万,3.48万,FALSE,暂无报价,0,http://p1-dcd.byteimg.com/img/motor-img/60a10e5922963f11d17424a6c51dff36~tplv-resize:640:0.png,2023/1/5
五菱汽车,39,纯电,五菱荣光小卡EV,5277,,11.38-11.78万,暂无报价,11.38万,FALSE,暂无报价,0,http://p1-dcd.byteimg.com/img/motor-img/9fe9be1f96d0ae7912a652c70ac6afd6~tplv-resize:640:0.png,2023/1/5
前途,149,纯电,前途K20,2837,即将上市,暂无报价,8.68-14.98万,暂无报价,FALSE,暂无报价,0,http://p1-dcd.byteimg.com/img/motor-img/2d49c6363ef2f14a481ef3a9cdddcce8~tplv-resize:640:0.png,2023/1/5
长安凯程,171,纯电,长安欧尚A600 EV,2986,紧凑型MPV销量NO.16,14.98万,暂无报价,14.98万,FALSE,暂无报价,0,http://p1-dcd.byteimg.com/img/mosaic-legacy/bef40000683b18094dbf~tplv-resize:640:0.png,2023/1/5
江淮,32,纯电,江淮iEV7,3587,,10.95-11.10万,暂无报价,10.95万,FALSE,暂无报价,0,http://p1-dcd.byteimg.com/img/motor-img/4d1deeb1daad3a5a6c44ea50917922f8~tplv-resize:640:0.png,2023/1/5
兰博基尼,42,纯电,Terzo Millennio,1961,,暂无报价,暂无报价,暂无报价,FALSE,暂无报价,0,http://p1-dcd.byteimg.com/img/mosaic-legacy/bef50000893be0a5adb4~tplv-resize:640:0.png,2023/1/5
合创汽车,303,纯电,合创007,3723,,29.98万,暂无报价,29.98万,FALSE,暂无报价,3.74,http://p1-dcd.byteimg.com/img/motor-img/08a44355529f774514bb9aa8957929a2~tplv-resize:640:0.png,2023/1/5
瑞风汽车,512,纯电,瑞风E3,5474,新增车型,18.98-20.88万,暂无报价,18.98万,TRUE,19.98-20.88万,0,http://p1-dcd.byteimg.com/img/motor-img/9b9b2bcb01b623c18ed53331a08ff11b~tplv-resize:640:0.png,2023/1/5
广汽集团,237,纯电,绎乐,4795,,16.78-18.98万,暂无报价,16.78万,FALSE,暂无报价,3.68,http://p1-dcd.byteimg.com/img/motor-img/7c81468c2481b939613261d525bd1e8b~tplv-resize:640:0.png,2023/1/5
大运,372,纯电,远志M1,4542,中型MPV销量NO.8,17.78-32.88万,暂无报价,17.78万,TRUE,17.78-32.88万,0,http://p9-dcd.byteimg.com/img/motor-img/1391df865bb70731fc6a7ad8cce7f124~tplv-resize:640:0.png,2023/1/5
上汽大通MAXUS,108,纯电,上汽大通MAXUS EV80,1825,2023新款,16.48-28.42万,暂无报价,16.48万,FALSE,暂无报价,0,http://p1-dcd.byteimg.com/img/motor-img/a411c7969b963b8c28647b318477e834~tplv-resize:640:0.png,2023/1/5
奇瑞新能源,461,纯电,艾瑞泽e,4086,,15.24万,暂无报价,15.24万,FALSE,暂无报价,0,http://p1-dcd.byteimg.com/img/motor-img/801fac00fa4a0818fc25e1fc20372dda~tplv-resize:640:0.png,2023/1/5
特斯拉,63,纯电,Model Y(海外),3178,,暂无报价,48.80-53.50万,暂无报价,FALSE,暂无报价,0,http://p1-dcd.byteimg.com/img/mosaic-legacy/bef4000061619ac4963a~tplv-resize:640:0.png,2023/1/5
奔驰,3,纯电,奔驰EQE SUV,6208,即将上市,暂无报价,暂无报价,暂无报价,FALSE,暂无报价,0,http://p3-dcd.byteimg.com/img/tos-cn-i-0000c0030/72df347f87f146c29993c46d938603ec~tplv-resize:640:0.png,2023/1/5
LEVC,324,纯电,LEVC TX,4779,,33.98-36.98万,暂无报价,33.98万,FALSE,暂无报价,0,http://p9-dcd.byteimg.com/img/motor-img/0ab4fbed99a45047ef11569679f95caf~tplv-resize:640:0.png,2023/1/5
摩登汽车,414,纯电,Modern in,4837,,13.98-19.98万,12.58-14.58万,13.98万,FALSE,暂无报价,0,http://p1-dcd.byteimg.com/img/motor-img/de69d1f7fbcb1bd1e2d203600286a72b~tplv-resize:640:0.png,2023/1/5
东风小康,79,纯电,东风小康EC36,475,,12.98万,暂无报价,12.98万,FALSE,暂无报价,0,http://p1-dcd.byteimg.com/img/motor-img/822a1a609747067a12188eca055fa04f~tplv-resize:640:0.png,2023/1/5
恒润汽车,441,纯电,小泰迪,5181,,6.88-8.98万,暂无报价,6.88万,FALSE,暂无报价,0,http://p1-dcd.byteimg.com/img/motor-img/603eabe41412ec92229403525a5a4234~tplv-resize:640:0.png,2023/1/5
上汽大通MAXUS,108,纯电,上汽大通MAXUS EV30,3151,2023新款,14.38-15.38万,暂无报价,14.38万,FALSE,暂无报价,0,http://p1-dcd.byteimg.com/img/motor-img/e9b0db1b997ae80b84d981f309b8de8d~tplv-resize:640:0.png,2023/1/5
九龙,134,纯电,九龙E6,1830,,9.98万,暂无报价,9.98万,FALSE,暂无报价,0,http://p1-dcd.byteimg.com/img/mosaic-legacy/9b130001200eb94997b0~tplv-resize:640:0.png,2023/1/5
华夏领舰,531,纯电,华夏领舰HX-1,6142,,14.68-23.68万,暂无报价,14.68万,FALSE,暂无报价,0,http://p1-dcd.byteimg.com/img/motor-img/b24afcc36752ab2e42ee3e56f1f2d2ee~tplv-resize:640:0.png,2023/1/5
上汽大通MAXUS,108,纯电,上汽大通MAXUS MIFA 5,5999,,19.98-23.28万,暂无报价,19.98万,FALSE,暂无报价,0,http://p1-dcd.byteimg.com/img/motor-img/4f42d5ff30f94ef4c7da101045312782~tplv-resize:640:0.png,2023/1/5
Faraday Future,229,纯电,FF 91,2785,,暂无报价,暂无报价,暂无报价,FALSE,暂无报价,0,http://p1-dcd.byteimg.com/img/mosaic-legacy/bef20000bdf38c0cb1cf~tplv-resize:640:0.png,2023/1/5
朋克汽车,420,纯电,朋克多多,4944,,4.58-4.98万,2.88-3.98万,4.58万,FALSE,暂无报价,0,http://p9-dcd.byteimg.com/img/motor-img/be6a91bbd5caff44e4aaca634a6d3b03~tplv-resize:640:0.png,2023/1/5
长安凯程,171,纯电,长安欧尚长行EV,3329,,16.32-16.98万,16.98万,16.32万,FALSE,暂无报价,0,http://p1-dcd.byteimg.com/img/motor-img/e558edf8065636b07b663082af998406~tplv-resize:640:0.png,2023/1/5
ARCFOX极狐,176,纯电,ARCFOX-7,2014,,暂无报价,暂无报价,暂无报价,FALSE,暂无报价,0,http://p1-dcd.byteimg.com/img/mosaic-legacy/17675000018353e0564ac~tplv-resize:640:0.png,2023/1/5
嘉远汽车,486,纯电,KOMI,5546,,6.96-7.96万,暂无报价,6.96万,FALSE,暂无报价,0,http://p1-dcd.byteimg.com/img/motor-img/8baeb687ac665ff25e5e81c61563c63e~tplv-resize:640:0.png,2023/1/5
北京汽车,68,纯电,北京EX3,3347,,11.99-16.39万,暂无报价,11.99万,TRUE,11.99-16.39万,3.54,http://p1-dcd.byteimg.com/img/motor-img/8f7efd07d70431529dba2f035bfb6359~tplv-resize:640:0.png,2023/1/5
国金汽车,191,纯电,骏行,5850,,15.98万,暂无报价,15.98万,FALSE,暂无报价,0,http://p3-dcd.byteimg.com/img/motor-img/7572d244ec05df6da9e5cd6279557e93~tplv-resize:640:0.png,2023/1/5
野马汽车,107,纯电,野马EC60,3003,,16.99万,暂无报价,16.99万,FALSE,暂无报价,0,http://p1-dcd.byteimg.com/img/motor-img/2994b6d63d826dff413de1878ef2f367~tplv-resize:640:0.png,2023/1/5
五菱汽车,39,纯电,五菱电卡,5145,,11.58-13.88万,暂无报价,11.58万,FALSE,暂无报价,0,http://p1-dcd.byteimg.com/img/motor-img/680206d0d7edd1a219254f95e5263824~tplv-resize:640:0.png,2023/1/5
东风,91,纯电,俊风E11K,2983,,15.80-16.80万,暂无报价,15.80万,FALSE,暂无报价,0,http://p3-dcd.byteimg.com/img/mosaic-legacy/bef400001d3da79c900e~tplv-resize:640:0.png,2023/1/5
飞凡汽车,401,纯电,飞凡F7,6137,即将上市,暂无报价,暂无报价,暂无报价,FALSE,暂无报价,0,http://p1-dcd.byteimg.com/img/motor-img/01da8c66db475003121443ea94fe003f~tplv-resize:640:0.png,2023/1/5
天际汽车,250,纯电,天际ME7,3075,,23.88-26.98万,暂无报价,23.88万,TRUE,23.88-26.98万,0,http://p1-dcd.byteimg.com/img/motor-img/dae10ce6e631acebd17a14662ee71d1b~tplv-resize:640:0.png,2023/1/5
远程汽车,308,纯电,远程星享V,5794,,13.39-16.06万,暂无报价,13.39万,FALSE,暂无报价,0,http://p9-dcd.byteimg.com/img/motor-img/201d7a16232df54772db4fbf1d02d208~tplv-resize:640:0.png,2023/1/5
玛莎拉蒂,45,纯电,GranTurismo Folgore,5864,即将上市,暂无报价,暂无报价,暂无报价,FALSE,暂无报价,0,http://p1-dcd.byteimg.com/img/tos-cn-i-0000c0030/baef2fd697ab42bea794be45607b7a6c~tplv-resize:640:0.png,2023/1/5
北京汽车,68,纯电,北京EU5 PLUS,5102,,12.99-14.99万,12.00-16.00万,12.99万,TRUE,12.99-14.99万,0,http://p1-dcd.byteimg.com/img/motor-img/9179844258a6fc2676f8ee5a47a3c085~tplv-resize:640:0.png,2023/1/5
大众,1,纯电,Nils,2374,,暂无报价,暂无报价,暂无报价,FALSE,暂无报价,0,http://p3-dcd.byteimg.com/img/motor-img/e1e315d1e04d74ebeba0b9e549071e03~tplv-resize:640:0.png,2023/1/5
江铃,100,纯电,域虎EV,3210,,31.68-38.38万,暂无报价,31.68万,FALSE,暂无报价,0,http://p1-dcd.byteimg.com/img/motor-img/c17c8c4df789fd7f0b31838dee3f3c3c~tplv-resize:640:0.png,2023/1/5
上汽大通MAXUS,108,纯电,上汽大通MAXUS MIFA 6,6001,,22.68万,暂无报价,22.68万,FALSE,暂无报价,0,http://p1-dcd.byteimg.com/img/motor-img/467dcf446b88415aba07ca739452be78~tplv-resize:640:0.png,2023/1/5
上汽大通MAXUS,108,纯电,上汽大通MAXUS EV90,4708,2023新款,23.90-35.90万,暂无报价,23.90万,FALSE,暂无报价,0,http://p1-dcd.byteimg.com/img/motor-img/ef061fa5661f2c7c259275c203fcd6ee~tplv-resize:640:0.png,2023/1/5
海马,53,纯电,海马7X-E,5934,,21.98-25.98万,暂无报价,21.98万,FALSE,暂无报价,0,http://p1-dcd.byteimg.com/img/motor-img/83764d01c17f4ed726bfa1c8da24270c~tplv-resize:640:0.png,2023/1/5
宇通客车,172,纯电,宇通T7E,4623,,88.00-116.00万,暂无报价,88.00万,FALSE,暂无报价,0,http://p1-dcd.byteimg.com/img/motor-img/4bc1edbbefc2f31738454f2270e0d317~tplv-resize:640:0.png,2023/1/5
开瑞,139,纯电,海豚EV,4154,,15.78-17.58万,暂无报价,15.78万,FALSE,暂无报价,0,http://p1-dcd.byteimg.com/img/motor-img/0c1239dd3c751242b71841094e65683f~tplv-resize:640:0.png,2023/1/5
凯翼,142,纯电,炫界Pro EV,5367,,15.66-17.66万,暂无报价,15.66万,FALSE,暂无报价,0,http://p1-dcd.byteimg.com/img/motor-img/297b50a8f659602e2fd62223e67c0c2a~tplv-resize:640:0.png,2023/1/5
东风风行,70,纯电,风行S60 EV,5453,,15.99万,暂无报价,15.99万,FALSE,暂无报价,0,http://p1-dcd.byteimg.com/img/motor-img/c79d1d8bcc01f4d506753193b336fade~tplv-resize:640:0.png,2023/1/5
东风风行,70,纯电,风行雷霆,5802,即将上市,暂无报价,14.00-22.00万,暂无报价,FALSE,暂无报价,0,http://p1-dcd.byteimg.com/img/tos-cn-i-dcdx/208be4380d144330a1968e5c32356d41~tplv-resize:640:0.png,2023/1/5
MINI,65,纯电,MINI ELECTRIC,1740,,暂无报价,暂无报价,暂无报价,FALSE,暂无报价,0,http://p9-dcd.byteimg.com/img/motor-img/5314e948db414229a4084012484992df~tplv-resize:640:0.png,2023/1/5
奔驰,3,纯电,奔驰EQS SUV,5805,即将上市,暂无报价,暂无报价,暂无报价,FALSE,暂无报价,0,http://p1-dcd.byteimg.com/img/tos-cn-i-dcdx/ce82be81b58e46b89a3e0532c057511c~tplv-resize:640:0.png,2023/1/5
江铃,100,纯电,特顺EV,3005,,20.60-24.68万,暂无报价,20.60万,FALSE,暂无报价,0,http://p1-dcd.byteimg.com/img/mosaic-legacy/beef000145914644d5fd~tplv-resize:640:0.png,2023/1/5
依维柯,90,纯电,依维柯欧胜EV,3718,,23.69-23.99万,暂无报价,23.69万,TRUE,23.69-23.99万,0,http://p1-dcd.byteimg.com/img/mosaic-legacy/bef20000fdf33c265bc3~tplv-resize:640:0.png,2023/1/5
瑞驰,198,纯电,瑞驰EC35,1910,,12.88-14.38万,暂无报价,12.88万,FALSE,暂无报价,0,http://p1-dcd.byteimg.com/img/motor-img/6b911d7d4df3fc67e1b572f2eda5389e~tplv-resize:640:0.png,2023/1/5
昶洧,227,纯电,thunder power,2780,,暂无报价,暂无报价,暂无报价,FALSE,暂无报价,0,http://p1-dcd.byteimg.com/img/mosaic-legacy/bef0000143f0368c117b~tplv-resize:640:0.png,2023/1/5
江淮,32,纯电,江淮iEVA50,2311,,14.98-15.58万,暂无报价,14.98万,TRUE,12.98-13.38万,0,http://p1-dcd.byteimg.com/img/motor-img/c85420f90d04489131ae6c51aad6faa2~tplv-resize:640:0.png,2023/1/5
江铃,100,纯电,凯锐EV,5894,,24.04-27.18万,暂无报价,24.04万,FALSE,暂无报价,0,http://p1-dcd.byteimg.com/img/motor-img/c702a0a980e5bf541c6abd4c425f7657~tplv-resize:640:0.png,2023/1/5
哪吒汽车,199,纯电,哪吒E-TAKE,1911,,暂无报价,暂无报价,暂无报价,FALSE,暂无报价,0,http://p3-dcd.byteimg.com/img/mosaic-legacy/1767400002cdb9063982a~tplv-resize:640:0.png,2023/1/5
东风·瑞泰特,230,纯电,东风·瑞泰特EM10,3012,,7.98万,暂无报价,7.98万,FALSE,暂无报价,0,http://p3-dcd.byteimg.com/img/mosaic-legacy/9b130001225dfd683c72~tplv-resize:640:0.png,2023/1/5
smart,48,纯电,smart EQ forfour,2055,,暂无报价,暂无报价,暂无报价,FALSE,暂无报价,0,http://p1-dcd.byteimg.com/img/motor-img/ce26f85891c01346103d2dc0e58d3dcb~tplv-resize:640:0.png,2023/1/5
东风富康,373,纯电,富康ES600,5580,,15.38-16.38万,暂无报价,15.38万,FALSE,暂无报价,0,http://p1-dcd.byteimg.com/img/motor-img/9d0422fde61435579a20862d9847eecf~tplv-resize:640:0.png,2023/1/5
江铃,100,纯电,顺达EV,5233,,19.28-31.98万,暂无报价,19.28万,FALSE,暂无报价,0,http://p9-dcd.byteimg.com/img/motor-img/a16872d547957b28d196f936b12c219c~tplv-resize:640:0.png,2023/1/5
东风,91,纯电,御风EV,427,,18.80-48.00万,暂无报价,18.80万,FALSE,暂无报价,0,http://p1-dcd.byteimg.com/img/motor-img/848e60c12f79839bc51011988bef4c3b~tplv-resize:640:0.png,2023/1/5
福田,57,纯电,大将军EV皮卡,5808,,29.23-41.31万,暂无报价,29.23万,FALSE,暂无报价,0,http://p1-dcd.byteimg.com/img/motor-img/44742b993fe0660030c7c0958a5540c9~tplv-resize:640:0.png,2023/1/5
橙仕,421,纯电,橙仕X2,5822,,5.98-6.40万,暂无报价,5.98万,FALSE,暂无报价,0,http://p3-dcd.byteimg.com/img/motor-img/b7ef68707863f9bff89e426f594d69c4~tplv-resize:640:0.png,2023/1/5
大众,1,纯电,大众XL1,2353,,暂无报价,暂无报价,暂无报价,FALSE,暂无报价,0,http://p1-dcd.byteimg.com/img/mosaic-legacy/1767500002a64703d70db~tplv-resize:640:0.png,2023/1/5
东风,91,纯电,锐骐6 EV,3713,,26.98-27.58万,29.98万,26.98万,FALSE,暂无报价,0,http://p1-dcd.byteimg.com/img/motor-img/14ff833009f4fc035e78f9a4d82362fb~tplv-resize:640:0.png,2023/1/5
国机智骏,266,纯电,国机智骏GC2,3410,,6.58-8.18万,7.48-9.08万,6.58万,TRUE,6.58-8.18万,0,http://p1-dcd.byteimg.com/img/motor-img/ede9f9bb9abfee8fa5edc40e0113712c~tplv-resize:640:0.png,2023/1/5
野马汽车,107,纯电,斯派卡EV,4465,,14.99-16.99万,暂无报价,14.99万,TRUE,14.99-16.99万,0,http://p9-dcd.byteimg.com/img/motor-img/2429e897feec01509cab30e2c1b9154b~tplv-resize:640:0.png,2023/1/5
东风风光,95,纯电,德先T8,6274,,暂无报价,暂无报价,暂无报价,FALSE,暂无报价,0,http://p1-dcd.byteimg.com/img/tos-cn-i-0000c0030/c411147c0caa4fcfbfacf07b130cc4d6~tplv-resize:640:0.png,2023/1/5
华晨新日,413,纯电,华晨新日i03A,5407,微型轿车销量NO.18,8.58-12.50万,暂无报价,8.58万,FALSE,暂无报价,0,http://p1-dcd.byteimg.com/img/motor-img/76b290a10547a7aa87424d1f5e02ef78~tplv-resize:640:0.png,2023/1/5
长安凯程,171,纯电,睿行EM80,2972,,13.58-15.98万,暂无报价,13.58万,FALSE,暂无报价,0,http://p3-dcd.byteimg.com/img/mosaic-legacy/bef100009958556a14cb~tplv-resize:640:0.png,2023/1/5
九龙,134,纯电,九龙EM3,3090,,8.58-10.18万,暂无报价,8.58万,TRUE,8.58-10.18万,0,http://p1-dcd.byteimg.com/img/mosaic-legacy/bef800003ba46fbdebb1~tplv-resize:640:0.png,2023/1/5
小鹏汽车,195,纯电,小鹏BETA版,1776,,暂无报价,暂无报价,暂无报价,FALSE,暂无报价,0,http://p9-dcd.byteimg.com/img/mosaic-legacy/bef700002ccb4e2d9bce~tplv-resize:640:0.png,2023/1/5
北汽昌河,60,纯电,北汽EV5,2858,,10.38-11.38万,暂无报价,10.38万,TRUE,10.38-11.38万,0,http://p1-dcd.byteimg.com/img/motor-img/f49e241532567e75a0dca881994522a9~tplv-resize:640:0.png,2023/1/5
欧拉,238,纯电,欧拉,2303,,暂无报价,暂无报价,暂无报价,FALSE,暂无报价,0,http://p1-dcd.byteimg.com/img/mosaic-legacy/bef600002eda814f7a18~tplv-resize:640:0.png,2023/1/5
容大智造,244,纯电,迈图,2966,,6.90-8.90万,暂无报价,6.90万,FALSE,暂无报价,0,http://p1-dcd.byteimg.com/img/mosaic-legacy/9b130000000e44d246eb~tplv-resize:640:0.png,2023/1/5
奔驰,3,纯电,Vision Tokyo,2173,,暂无报价,暂无报价,暂无报价,FALSE,暂无报价,0,http://p1-dcd.byteimg.com/img/motor-img/c37c41c02bbc7b87cfc840bd601e2881~tplv-resize:640:0.png,2023/1/5
长安凯程,171,纯电,长安之星9 EV,3022,,13.18-14.58万,暂无报价,13.18万,FALSE,暂无报价,0,http://p1-dcd.byteimg.com/img/mosaic-legacy/bef00000a6ab8f8f8c29~tplv-resize:640:0.png,2023/1/5
福田,57,纯电,风景G7新能源,5247,,16.18-22.98万,暂无报价,16.18万,FALSE,暂无报价,0,http://p1-dcd.byteimg.com/img/motor-img/9363200b0798f18e95c57947cf80ce41~tplv-resize:640:0.png,2023/1/5
名爵,34,纯电,名爵E-motion,2232,,暂无报价,暂无报价,暂无报价,FALSE,暂无报价,0,http://p1-dcd.byteimg.com/img/motor-img/b0b69508bc70bea11e449165265c1040~tplv-resize:640:0.png,2023/1/5
东风风光,95,纯电,风光E380,6230,,14.48-15.98万,暂无报价,14.48万,FALSE,暂无报价,0,http://p1-dcd.byteimg.com/img/tos-cn-i-dcdx/2cc137ddf57141afa9ea6573f74a4ce2~tplv-resize:640:0.png,2023/1/5
敏安汽车,356,纯电,敏微ET1,6093,,3.98万,暂无报价,3.98万,FALSE,暂无报价,0,http://p1-dcd.byteimg.com/img/motor-img/48936f647bea8db7bf882ee95c97428d~tplv-resize:640:0.png,2023/1/5
国机智骏,266,纯电,国机智骏GC1,3409,,7.38-8.38万,7.88-9.38万,7.38万,TRUE,7.38-8.38万,0,http://p3-dcd.byteimg.com/img/motor-img/1fc424ba1769179dc31bbfc7bd24c272~tplv-resize:640:0.png,2023/1/5
江铃,100,纯电,E路顺,6180,,14.66-16.08万,暂无报价,14.66万,FALSE,暂无报价,0,http://p1-dcd.byteimg.com/img/tos-cn-i-0000c0030/2ac69acad9364e3e90bba9a6980ce4fa~tplv-resize:640:0.png,2023/1/5
五十铃,106,纯电,瑞迈EV,3140,,29.98万,暂无报价,29.98万,FALSE,暂无报价,0,http://p1-dcd.byteimg.com/img/mosaic-legacy/beef0000c8b6a7f337b8~tplv-resize:640:0.png,2023/1/5
远程汽车,308,纯电,远程E5,3766,,13.36-14.26万,暂无报价,13.36万,FALSE,暂无报价,0,http://p1-dcd.byteimg.com/img/motor-img/28ad6c0ccd1ad0b962285d49668eb55c~tplv-resize:640:0.png,2023/1/5
长安凯程,171,纯电,睿行EM60,4205,,13.58-14.08万,暂无报价,13.58万,FALSE,暂无报价,0,http://p1-dcd.byteimg.com/img/motor-img/d52bf915d67b594d20e5757cf8445077~tplv-resize:640:0.png,2023/1/5
睿蓝汽车,381,纯电,枫叶80v PRO,6178,,16.28-17.88万,暂无报价,16.28万,FALSE,暂无报价,0,http://p1-dcd.byteimg.com/img/tos-cn-i-0000c0030/116ca0b29c63421eaee093b159fafbaf~tplv-resize:640:0.png,2023/1/5
奥迪,2,纯电,奥迪PB18,2994,,暂无报价,暂无报价,暂无报价,FALSE,暂无报价,0,http://p1-dcd.byteimg.com/img/mosaic-legacy/bef6000001142cfde14b~tplv-resize:640:0.png,2023/1/5
开瑞,139,纯电,优优EV,2257,,13.08万,暂无报价,13.08万,FALSE,暂无报价,0,http://p1-dcd.byteimg.com/img/mosaic-legacy/beef00009af087aa6cce~tplv-resize:640:0.png,2023/1/5
安凯客车,115,纯电,安凯Q5,6028,,33.60-34.60万,暂无报价,33.60万,FALSE,暂无报价,0,http://p1-dcd.byteimg.com/img/motor-img/d5e385ed2ea461fe5715ea76d4058541~tplv-resize:640:0.png,2023/1/5
福田,57,纯电,智蓝精灵,5964,,14.88-16.88万,暂无报价,14.88万,FALSE,暂无报价,0,http://p3-dcd.byteimg.com/img/motor-img/0391bd60a997fe3576ba7a5533d08503~tplv-resize:640:0.png,2023/1/5
北京汽车,68,纯电,北京EX5,3158,,16.99-19.99万,暂无报价,16.99万,FALSE,暂无报价,0,http://p1-dcd.byteimg.com/img/motor-img/ea816a2efab35d3d9c242e876757c4ac~tplv-resize:640:0.png,2023/1/5
比亚迪,16,纯电,比亚迪E-SEED,2876,,暂无报价,暂无报价,暂无报价,FALSE,暂无报价,0,http://p9-dcd.byteimg.com/img/mosaic-legacy/bef50000c5f683a1d2b3~tplv-resize:640:0.png,2023/1/5
奔驰,3,纯电,奔驰EQA(海外),5107,,暂无报价,暂无报价,暂无报价,FALSE,暂无报价,0,http://p1-dcd.byteimg.com/img/motor-img/a42d4712d70fa84b5277a1b5043d40ae~tplv-resize:640:0.png,2023/1/5
长安跨越,210,纯电,跨越星V5 EV,5299,,14.68万,暂无报价,14.68万,FALSE,暂无报价,0,http://p1-dcd.byteimg.com/img/motor-img/07e41bc9e56e5ef28ea033f381bbbb6d~tplv-resize:640:0.png,2023/1/5
比亚迪,16,纯电,比亚迪T3,2110,,暂无报价,暂无报价,暂无报价,FALSE,暂无报价,0,http://p1-dcd.byteimg.com/img/mosaic-legacy/bef3000141179cac1d4b~tplv-resize:640:0.png,2023/1/5
国新新能源,506,纯电,翼刻ET300,5792,,9.98万,暂无报价,9.98万,FALSE,暂无报价,0,http://p1-dcd.byteimg.com/img/motor-img/a5f493c83999d487023cc1d77c0e72ea~tplv-resize:640:0.png,2023/1/5
云度,188,纯电,云度π3,1714,,11.98-13.98万,暂无报价,11.98万,FALSE,暂无报价,0,http://p1-dcd.byteimg.com/img/motor-img/d36fbeed762d384c1b90690bc00149df~tplv-resize:640:0.png,2023/1/5
金杯新能源,516,纯电,新海狮 EV,5957,2023新款,13.28-13.52万,暂无报价,13.28万,FALSE,暂无报价,0,http://p3-dcd.byteimg.com/img/motor-img/dbe0c85aea30c77fcd58cded1eab90ca~tplv-resize:640:0.png,2023/1/5
远程汽车,308,纯电,远程E6,3767,,16.88-17.58万,暂无报价,16.88万,FALSE,暂无报价,0,http://p3-dcd.byteimg.com/img/mosaic-legacy/176740000550fed2cdeeb~tplv-resize:640:0.png,2023/1/5
安凯客车,115,纯电,安凯快乐运,6017,,14.28万,暂无报价,14.28万,FALSE,暂无报价,0,http://p3-dcd.byteimg.com/img/motor-img/18a0e977a7685750c9d740d65c4b5679~tplv-resize:640:0.png,2023/1/5
保时捷,20,纯电,Mission E,2126,,暂无报价,暂无报价,暂无报价,FALSE,暂无报价,0,http://p3-dcd.byteimg.com/img/motor-img/d1ced4957cb30b0388cc79fb85ec0d7c~tplv-resize:640:0.png,2023/1/5
北汽新能源,93,纯电,北汽新能源D80 EV,2097,,暂无报价,暂无报价,暂无报价,FALSE,暂无报价,0,http://p1-dcd.byteimg.com/img/mosaic-legacy/bef700006aa291f42611~tplv-resize:640:0.png,2023/1/5
飞碟汽车,404,纯电,飞碟Q2V,4744,,13.50万,暂无报价,13.50万,FALSE,暂无报价,0,http://p3-dcd.byteimg.com/img/motor-img/0b907019d081cd107dc8d5d5c658fb58~tplv-resize:640:0.png,2023/1/5
长安跨越,210,纯电,跨越星V7 EV,6090,,15.38-16.28万,暂无报价,15.38万,FALSE,暂无报价,0,http://p3-dcd.byteimg.com/img/motor-img/a2b087f6650e50da5e53307d4018f80d~tplv-resize:640:0.png,2023/1/5
东风风神,37,纯电,东风风神e.π,2856,,暂无报价,暂无报价,暂无报价,FALSE,暂无报价,0,http://p3-dcd.byteimg.com/img/mosaic-legacy/bef40000f5aea1599edb~tplv-resize:640:0.png,2023/1/5
开瑞,139,纯电,江豚,5855,,13.38-14.68万,暂无报价,13.38万,FALSE,暂无报价,0,http://p1-dcd.byteimg.com/img/motor-img/67d72edf302280a0e19b953021cac3cc~tplv-resize:640:0.png,2023/1/5
福田,57,纯电,拓陆者智蓝,3645,,29.80-31.80万,暂无报价,29.80万,FALSE,暂无报价,0,http://p1-dcd.byteimg.com/img/mosaic-legacy/bef30000dbd2dad65f79~tplv-resize:640:0.png,2023/1/5
宝马,4,纯电,宝马iX3(海外),2874,,暂无报价,暂无报价,暂无报价,FALSE,暂无报价,0,http://p1-dcd.byteimg.com/img/motor-img/8059ddfdc1bbce4b6f9cffcb09f18c74~tplv-resize:640:0.png,2023/1/5
国机智骏,266,纯电,国机智骏GX5,3408,,11.58-13.98万,12.58-14.98万,11.58万,TRUE,11.58-13.98万,0,http://p1-dcd.byteimg.com/img/motor-img/d82d94ee62b66a881f61ae95ad0544d3~tplv-resize:640:0.png,2023/1/5
荣威,36,纯电,Vision-E,2068,,暂无报价,暂无报价,暂无报价,FALSE,暂无报价,0,http://p1-dcd.byteimg.com/img/motor-img/7bf44b8be186cab07747141c2252be6a~tplv-resize:640:0.png,2023/1/5
福田,57,纯电,图雅诺新能源,1826,,26.28-31.98万,暂无报价,26.28万,FALSE,暂无报价,0,http://p1-dcd.byteimg.com/img/motor-img/7ed8bed189545b1fd4fc832c49ded254~tplv-resize:640:0.png,2023/1/5
国吉商用车,559,纯电,大象G40,6310,全新车系,12.88-13.18万,暂无报价,12.88万,FALSE,暂无报价,0,http://p1-dcd.byteimg.com/img/tos-cn-i-dcdx/16fb2632875c485eb804ea7bb15c7b44~tplv-resize:640:0.png,2023/1/5
